y_true,y_pred
58400.0,72221.76
177400.0,181731.92
294800.0,290340.9
49000.0,52401.508
108500.0,101489.88
232500.0,256355.84
361300.0,371492.94
158000.0,148257.34
240600.0,299797.4
226200.0,218530.89
456300.0,376851.16
233900.0,228889.42
407000.0,427067.53
57500.0,77259.5
62000.0,71621.32
123200.0,123140.85
67700.0,63802.99
439100.0,359326.78
226500.0,191603.73
269400.0,246317.34
122200.0,126962.83
47700.0,55494.86
67500.0,125346.34
173500.0,225346.17
138800.0,144469.11
326700.0,251604.92
114600.0,137440.62
223200.0,218876.5
167500.0,106967.11
231800.0,182248.44
277400.0,210467.75
106400.0,104512.016
214800.0,214336.4
67500.0,92264.49
119400.0,105511.484
173900.0,133956.36
65800.0,56605.664
201900.0,194378.83
144000.0,178986.6
73800.0,84119.05
197600.0,159904.6
205000.0,196128.62
345300.0,223490.61
140800.0,121565.15
287900.0,274736.12
218300.0,279570.34
173300.0,214764.66
261400.0,348726.4
175300.0,183143.11
281500.0,245199.62
88200.0,109888.14
146000.0,126648.04
81400.0,91116.375
109700.0,100829.52
383900.0,324557.72
64900.0,54517.156
57400.0,75961.51
189600.0,173043.83
146600.0,176004.56
121400.0,112528.64
343000.0,320602.2
176100.0,161536.36
227500.0,224534.64
151300.0,177629.61
381500.0,227073.53
140800.0,110007.36
159600.0,126202.17
96100.0,106638.52
152800.0,150770.55
156500.0,159880.2
162900.0,177098.48
143000.0,127048.58
254300.0,370321.4
282900.0,311707.94
72600.0,76814.06
175000.0,339645.16
381900.0,295003.44
340900.0,298197.75
195400.0,188643.62
116700.0,211939.53
252300.0,315408.12
76300.0,95275.695
276000.0,187353.1
89400.0,96673.78
228900.0,216656.22
299300.0,288812.34
162500.0,171053.9
215300.0,207082.84
227600.0,147711.73
156300.0,109063.13
85700.0,93736.77
261800.0,250119.48
268500.0,265045.22
164200.0,168360.52
100000.0,107999.945
322200.0,303183.28
240000.0,258524.47
170700.0,152946.8
53900.0,52068.734
243700.0,219502.98
425000.0,253436.38
62000.0,63161.426
169900.0,211511.45
133700.0,150166.7
123400.0,123247.88
145800.0,164642.77
181500.0,202556.4
360600.0,306637.2
452600.0,304635.9
192000.0,209527.69
113000.0,139898.77
151900.0,143029.25
47800.0,77990.09
192000.0,176720.56
287600.0,242413.44
62000.0,118033.125
493300.0,300170.47
155400.0,155265.17
359900.0,326765.9
221200.0,250642.89
418500.0,241324.94
158000.0,171481.19
432400.0,429548.94
152000.0,174716.02
136300.0,132062.17
47800.0,40598.508
127000.0,149505.67
274300.0,173361.47
159900.0,159014.06
72900.0,100872.03
49800.0,50031.062
124300.0,156667.64
