y_true,y_pred
58400.0,67645.914
177400.0,177433.89
294800.0,310548.94
49000.0,52406.555
108500.0,106445.47
232500.0,256394.47
361300.0,371812.28
158000.0,174157.22
240600.0,308803.84
226200.0,228204.16
456300.0,342552.97
233900.0,231825.28
407000.0,395548.78
57500.0,83002.91
62000.0,68448.2
123200.0,127902.37
67700.0,67107.89
439100.0,344317.03
226500.0,209798.62
269400.0,253957.53
122200.0,127983.39
47700.0,59031.008
67500.0,135631.1
173500.0,198243.06
138800.0,140976.11
326700.0,259642.27
114600.0,127844.08
223200.0,237750.8
167500.0,113634.57
231800.0,199243.06
277400.0,182899.62
106400.0,119944.5
214800.0,212072.36
67500.0,82667.41
119400.0,116678.91
173900.0,135216.52
65800.0,56582.617
201900.0,203418.83
144000.0,187989.55
73800.0,83645.94
197600.0,161930.61
205000.0,203258.84
345300.0,217875.19
140800.0,140766.39
287900.0,289388.84
218300.0,287963.88
173300.0,196466.16
261400.0,345314.06
175300.0,181474.03
281500.0,244093.94
88200.0,106579.05
146000.0,125147.83
81400.0,96183.34
109700.0,100652.55
383900.0,368738.72
64900.0,55631.84
57400.0,70895.46
189600.0,176055.27
146600.0,182561.38
121400.0,139544.58
343000.0,337727.84
176100.0,164835.86
227500.0,239350.81
151300.0,170502.6
381500.0,244847.7
140800.0,104595.48
159600.0,116997.586
96100.0,91359.66
152800.0,141897.38
156500.0,152530.92
162900.0,183560.67
143000.0,122285.13
254300.0,344652.78
282900.0,294823.16
72600.0,87434.56
175000.0,384590.75
381900.0,293552.22
340900.0,313811.03
195400.0,190291.52
116700.0,188830.1
252300.0,382017.66
76300.0,88901.46
276000.0,186774.72
89400.0,96140.43
228900.0,217256.05
299300.0,300072.3
162500.0,176710.12
215300.0,209991.98
227600.0,139131.84
156300.0,109435.195
85700.0,102503.84
261800.0,243621.38
268500.0,292771.34
164200.0,144661.84
100000.0,100417.74
322200.0,320802.22
240000.0,243209.8
170700.0,124778.62
53900.0,53304.754
243700.0,208125.05
425000.0,254181.42
62000.0,62634.938
169900.0,203906.34
133700.0,152072.38
123400.0,117618.6
145800.0,165895.64
181500.0,202924.55
360600.0,340935.47
452600.0,385790.88
192000.0,189635.34
113000.0,138657.64
151900.0,146009.77
47800.0,66046.42
192000.0,173827.17
287600.0,240837.52
62000.0,78900.1
493300.0,311794.16
155400.0,159307.31
359900.0,343214.5
221200.0,267584.72
418500.0,197983.47
158000.0,164528.19
432400.0,512187.56
152000.0,183642.28
136300.0,127865.414
47800.0,51234.586
127000.0,148202.2
274300.0,276567.9
159900.0,152932.78
72900.0,98289.51
49800.0,48799.043
124300.0,128476.586
178600.0,112629.99
310000.0,390548.47
144000.0,136936.52
187500.0,138378.77
181700.0,176016.66
109800.0,127628.82
344700.0,268553.62
167900.0,194934.62
83600.0,91137.49
138900.0,181443.23
106300.0,226854.9
110200.0,114203.2
98800.0,119125.65
74200.0,172677.86
52800.0,118295.13
168000.0,172816.25
318400.0,323404.94
293300.0,230158.11
156100.0,130680.02
197500.0,206679.17
224900.0,235055.1
90300.0,105614.98
125000.0,110808.44
260400.0,314716.44
352600.0,397118.53
331400.0,371236.53
214600.0,139314.94
166000.0,171491.33
158300.0,175332.94
68400.0,40717.86
64700.0,54498.234
244400.0,160852.58
92800.0,102909.36
273200.0,272252.06
71300.0,116855.63
130100.0,138150.12
179600.0,153978.73
137300.0,169876.73
146500.0,140719.14
418400.0,231866.62
181300.0,246955.95
47500.0,70545.96
229200.0,186798.77
121500.0,110834.12
176900.0,144523.67
237600.0,260447.02
370900.0,381577.47
269500.0,274652.03
91400.0,103567.54
166100.0,163859.4
324000.0,309006.22
232300.0,221392.38
423200.0,382536.44
306300.0,371183.4
229900.0,193262.94
201200.0,206781.5
157400.0,179231.2
277500.0,231927.44
166300.0,200595.2
198600.0,252621.0
94800.0,134353.88
356300.0,367810.47
300000.0,281089.12
350000.0,339173.84
157600.0,117416.53
63800.0,73712.555
112500.0,141372.47
94200.0,86752.15
212700.0,216091.86
347900.0,380724.34
178100.0,185791.6
405500.0,383075.66
362500.0,375173.28
196900.0,205477.0
137500.0,192679.0
191100.0,149570.12
500000.0,319692.34
332700.0,343728.1
263100.0,155601.66
91900.0,75744.555
347800.0,256093.4
167400.0,264533.34
208300.0,191895.6
90400.0,88718.6
202700.0,185029.84
173300.0,159391.95
60000.0,62785.71
193800.0,144335.94
89200.0,87975.81
350500.0,349552.5
190400.0,193256.67
239200.0,254781.6
163900.0,185523.34
174200.0,184638.52
48300.0,68137.664
79600.0,81604.06
244600.0,267337.56
159900.0,226246.72
159100.0,165689.14
315000.0,351884.78
212500.0,95343.05
359200.0,356276.9
136700.0,120202.61
160500.0,215225.38
70100.0,60077.453
212500.0,180656.06
78800.0,91996.336
154500.0,163252.48
183300.0,171132.55
411600.0,383777.75
79900.0,71824.74
157000.0,239301.28
141600.0,107398.57
162500.0,218667.45
433300.0,337234.44
55100.0,59614.637
204000.0,212963.72
134400.0,110046.81
123800.0,140515.05
175000.0,236304.33
225800.0,236504.3
113700.0,136854.8
286000.0,266986.47
101000.0,129748.66
139700.0,97448.37
190400.0,243378.47
90300.0,112510.61
292700.0,227726.3
302500.0,320434.06
92800.0,94254.45
157800.0,170577.58
92200.0,123763.43
303400.0,269406.06
